PAIS,SEXO,AÑO,OBS_VALUE,OECD
Costa Rica,Male,2017,77.6,NO
Costa Rica,Male,2016,77.5,NO
Costa Rica,Male,2015,77.4,NO
Costa Rica,Total,2023,81,NO
Costa Rica,Total,2022,80.9,NO
Costa Rica,Total,2021,80.8,NO
Costa Rica,Total,2020,80.6,NO
Costa Rica,Female,2023,83.6,NO
Costa Rica,Female,2022,83.5,NO
Costa Rica,Female,2021,83.3,NO
Costa Rica,Female,2020,83.2,NO
Czechia,Female,2018,82,NO
Czechia,Female,2017,82,NO
Czechia,Female,2016,82.1,NO
Czechia,Male,2019,76.4,NO
Czechia,Male,2018,76.2,NO
Czechia,Male,2017,76.1,NO
Czechia,Male,2016,76.1,NO
Czechia,Male,2015,75.7,NO
Czechia,Female,2015,81.6,NO
Czechia,Total,2023,80,NO
Czechia,Total,2022,79,NO
Czechia,Total,2021,77.2,NO
Czechia,Total,2020,78.2,NO
Czechia,Total,2019,79.3,NO
Czechia,Total,2018,79.1,NO
Czechia,Total,2017,79.1,NO
Czechia,Total,2016,79.1,NO
Czechia,Total,2015,78.7,NO
Czechia,Male,2023,77,NO
Czechia,Male,2022,76.1,NO
Czechia,Male,2021,74.1,NO
Czechia,Male,2020,75.2,NO
Czechia,Female,2023,82.9,NO
Czechia,Female,2022,81.9,NO
Czechia,Female,2021,80.5,NO
Czechia,Female,2020,81.3,NO
Denmark,Female,2018,82.9,NO
Denmark,Female,2017,83.1,NO
Denmark,Female,2016,82.8,NO
Denmark,Male,2019,79.5,NO
Denmark,Male,2018,79.1,NO
Denmark,Male,2017,79.2,NO
Denmark,Male,2016,79,NO
Denmark,Male,2015,78.8,NO
Denmark,Female,2015,82.7,NO
Denmark,Total,2023,81.9,NO
Denmark,Total,2022,81.3,NO
Denmark,Total,2021,81.5,NO
Denmark,Total,2020,81.6,NO
Denmark,Total,2019,81.5,NO
Denmark,Total,2018,81,NO
Denmark,Total,2017,81.1,NO
Denmark,Total,2016,80.9,NO
Denmark,Total,2015,80.8,NO
Denmark,Male,2023,80,NO
Denmark,Male,2022,79.5,NO
Denmark,Male,2021,79.6,NO
Denmark,Male,2020,79.7,NO
Denmark,Female,2023,83.8,NO
Denmark,Female,2022,83.2,NO
Denmark,Female,2021,83.3,NO
Denmark,Female,2020,83.6,NO
Estonia,Male,2018,74,NO
Estonia,Male,2017,73.8,NO
Estonia,Male,2016,73.3,NO
Estonia,Total,2019,79,NO
Estonia,Total,2018,78.5,NO
Estonia,Total,2017,78.4,NO
Estonia,Total,2016,78,NO
Estonia,Total,2015,78,NO
Estonia,Male,2015,73.2,NO
Estonia,Female,2023,83.1,NO
Estonia,Female,2022,82.3,NO
Estonia,Female,2021,81.4,NO
Estonia,Female,2020,83,NO
Estonia,Female,2019,83,NO
Estonia,Female,2018,82.7,NO
Estonia,Female,2017,82.6,NO
Estonia,Female,2016,82.2,NO
Estonia,Female,2015,82.2,NO
Estonia,Total,2023,78.8,NO
Estonia,Total,2022,78.1,NO
Estonia,Total,2021,77.2,NO
Estonia,Total,2020,78.9,NO
Estonia,Male,2023,74.1,NO
Estonia,Male,2022,73.6,NO
Estonia,Male,2021,72.7,NO
Estonia,Male,2020,74.4,NO
Finland,Male,2018,79.1,NO
Finland,Male,2017,78.9,NO
Finland,Male,2016,78.6,NO
Finland,Female,2019,84.8,NO
Finland,Female,2018,84.5,NO
Finland,Female,2017,84.5,NO
Finland,Female,2016,84.4,NO
Finland,Female,2015,84.4,NO
Finland,Male,2015,78.7,NO
Finland,Total,2023,81.7,NO
Finland,Total,2022,81.2,NO
Finland,Total,2021,81.9,NO
Finland,Total,2020,82,NO
Finland,Total,2019,82.1,NO
Finland,Total,2018,81.8,NO
Finland,Total,2017,81.7,NO
Finland,Total,2016,81.5,NO
Finland,Total,2015,81.6,NO
Finland,Female,2023,84.4,NO
Finland,Female,2022,83.8,NO
Finland,Female,2021,84.6,NO
Finland,Female,2020,84.8,NO
Finland,Male,2023,79.1,NO
Finland,Male,2022,78.7,NO
Finland,Male,2021,79.3,NO
Finland,Male,2020,79.2,NO
France,Male,2018,79.7,NO
France,Male,2017,79.6,NO
France,Male,2016,79.5,NO
France,Total,2019,83,NO
France,Total,2018,82.8,NO
France,Total,2017,82.7,NO
France,Total,2016,82.7,NO
France,Total,2015,82.4,NO
France,Male,2015,79.2,NO
France,Female,2023,85.9,NO
France,Female,2022,85.1,NO
France,Female,2021,85.5,NO
France,Female,2020,85.3,NO
France,Female,2019,85.9,NO
France,Female,2018,85.8,NO
France,Female,2017,85.7,NO
France,Female,2016,85.8,NO
France,Female,2015,85.6,NO
France,Total,2023,83.1,NO
France,Total,2022,82.3,NO
France,Total,2021,82.4,NO
France,Total,2020,82.3,NO
France,Male,2023,80.1,NO
France,Male,2022,79.3,NO
France,Male,2021,79.3,NO
France,Male,2020,79.2,NO
Germany,Male,2020,78.7,NO
Germany,Male,2019,79,NO
Germany,Male,2018,78.6,NO
Germany,Female,2019,83.7,NO
Germany,Female,2018,83.3,NO
Germany,Female,2017,83.4,NO
Germany,Female,2016,83.5,NO
Germany,Female,2015,83.1,NO
Germany,Male,2017,78.7,NO
Germany,Male,2016,78.6,NO
Germany,Male,2015,78.3,NO
Germany,Total,2022,80.7,NO
Germany,Total,2021,80.8,NO
Germany,Total,2020,81.1,NO
Germany,Total,2019,81.3,NO
Germany,Total,2018,81,NO
